STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC
A202212191101506m053257,,,A202212191101506m053257,,,165.4608424878936,-5.549083082944051
C202312201101597m073257,,,,C202312201101597m073257,,165.49880078590795,-7.549218251788345
C202301241102082m054813,,,C202301241102082m054813,,,165.53411231676853,-5.803621452975827
A202212221102213m073553,,,A202212221102213m073553,,,165.58890084060224,-7.597952001618828
C202303101102311m075259,,,,C202303101102311m075259,,165.62943323732196,-7.883114683813673
A202212281102465m064624,,,A202212281102465m064624,,,165.6937448879934,-6.77325154207183
T202301181102572m053924,,,T202301181102572m053924,,,165.738328375104,-5.656544108031857
T202212191103055m061616,,,T202212191103055m061616,,,165.7728046831625,-6.2710898045181
A202212221103075m065021,,,A202212221103075m065021,,,165.78133724654165,-6.83930119625446
A202301181103149m065806,,,A202301181103149m065806,,,165.8121195393681,-6.968319119478023
A202212191103455m073342,,,A202212191103455m073342,,,165.93944489005492,-7.561655786173932
C202212191103467m075743,,,C202212191103467m075743,,,165.9445980387177,-7.961897372247701
C202301181103530m050848,,,C202301181103530m050848,,,165.97072211434724,-5.14653460181146
T202301041104003m072159,,,T202301041104003m072159,,,166.0014262332845,-7.366422456038034
A202212221104063m055627,,,A202212221104063m055627,,,166.02644386186589,-5.9408542129175625
A202212191104067m073936,,,A202212191104067m073936,,,166.0279807776811,-7.660092518339827
T202303011104122m065418,,,,T202303011104122m065418,,166.05087943125574,-6.904866034626719
T202301271104267m045554,,,T202301271104267m045554,T202302021104267m045554,,166.1112871075413,-4.931662140989147
T202301181104274m062457,,,T202301181104274m062457,T202302021104274m062457,,166.11431879881326,-6.415748599783244
T202303161104290m052703,,,,T202303161104290m052703,,166.1209802936344,-5.450955357685159
C202212161104381m070247,,,C202212161104381m070247,,,166.15881474721766,-7.046318196030469
A202302021104388m053255,,,,A202302021104388m053255,,166.16179002663912,-5.548723047224206
T202212161104423m071030,,,T202212161104423m071030,,,166.17619587477125,-7.17495144452956
C202301241104446m052330,,,C202301241104446m052330,C202302021104446m052330,,166.185890747231,-5.391555768469624
T202212251104556m062718,,,T202212251104556m062718,,,166.23165615202603,-6.454928146879599
T202303311105011m060914,,,,T202303311105011m060914,,166.25466608426257,-6.153877000546447
T202301241105057m053518,,,T202301241105057m053518,,,166.27391607649352,-5.588336000375082
T202212191105099m064615,,,T202212191105099m064615,,,166.2913216356864,-6.770773828806032
T202212191105273m071958,,,T202212191105273m071958,,,166.36387353359555,-7.332718290655003
C202212191105308m045336,,,C202212191105308m045336,,,166.3781827901114,-4.893424608786519
T202312141105322m062425,,,,T202312141105322m062425,,166.38413756792886,-6.406996596666134
C202302021105456m075302,,,,C202302021105456m075302,,166.4398605770973,-7.883778924932902
T202303011105514m060816,,,,T202303011105514m060816,,166.46404892172237,-6.13769784299374
C202303011105536m071743,,,,C202303011105536m071743,,166.4732295800794,-7.295381053500731
A202301031105573m060622,,,A202301031105573m060622,,,166.48874207225236,-6.106247416549508
C202401071106186m065806,,,,C202401071106186m065806,,166.57761118795636,-6.968455888034472
A202212191106599m052345,,,A202212191106599m052345,,,166.7497058769633,-5.3958716003131375
T202301271107072m071222,,,T202301271107072m071222,,,166.78004088106383,-7.2060599730651935
C202212191107082m064525,,,C202212191107082m064525,,,166.784235567756,-6.757063026883826
C202401071107258m060545,,,,C202401071107258m060545,,166.8575372073749,-6.095801293310468
A202212191107480m062142,,,A202212191107480m062142,,,166.9501293404032,-6.361746605212607
C202212161107537m075124,,,C202212161107537m075124,,,166.97370373249368,-7.856595519441178
T202303011107599m080254,,,,T202303011107599m080254,,166.9994441933159,-8.048441193288832
A202212191108067m080028,,,A202212191108067m080028,,,167.02794044475746,-8.007832865411295
C202212191108365m072911,,,C202212191108365m072911,,,167.1519108838777,-7.486440067764513
C202302171108381m052653,,,,C202302171108381m052653,,167.1585569621666,-5.448177859431184
C202401071108418m070259,,,,C202401071108418m070259,,167.17414036154042,-7.049679867761295
T202301181108477m081303,,,T202301181108477m081303,,,167.19865476797727,-8.217425111925316
T202312141108527m062039,,,,T202312141108527m062039,,167.21964723567567,-6.344168636323412
C202301241108543m080824,,,C202301241108543m080824,,,167.22618113214037,-8.140102565481959
T202301181109020m070202,,,T202301181109020m070202,,,167.2582088810689,-7.033909654314248
C202212191109022m053551,,,C202212191109022m053551,,,167.25901843178832,-5.5974975233376245
A202401071109239m075530,,,,A202401071109239m075530,,167.34953051057718,-7.924877517799497
C202301241109525m054950,,,C202301241109525m054950,,,167.46861880404228,-5.830577836154928
A202302021110066m080518,,,,A202302021110066m080518,,167.5275287609566,-8.08844417026072
C202212251110252m062231,,,C202212251110252m062231,,,167.60486702014285,-6.375355031820378
T202401071110269m062205,,,,T202401071110269m062205,,167.61200989591117,-6.367986753382488
