,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
19,C202307260007392m002403,,,C202307260007392m002403,,,1.91326626338809,-0.4008371318584313,,,,N
20,T202210110007516m011748,,,T202210110007516m011748,,,1.9650187787747984,-1.2967816048612446,,,,N
21,T202308250007562m000735,,,,,T202308250007562m000735,1.9839932230793536,-0.1264325529343422,0.5463397099433618,0.00011856677929344851,QSO,Y
22,T202212221035488m070420,,,T202212221035488m070420,,,158.9534567035282,-7.072086245319885,,,,N
23,C202212131035558m071342,,,C202212131035558m071342,,,158.9826510348719,-7.22828980359783,0.22153986956387148,2.3492450495411792e-06,GALAXY,Y
24,T202303041035564m073450,,,,T202303041035564m073450,,158.9851849725374,-7.580621592082534,0.0781496908247365,2.7595703654379247e-06,GALAXY,Y
25,T202312111036194m070002,,,,T202312111036194m070002,,159.08082219245438,-7.000592276249013,,,,N
26,A202302171037069m075543,,,,A202302171037069m075543,,159.27866228804606,-7.928696681700157,,,,N
27,C202312111037095m075841,,,,C202312111037095m075841,,159.2896522590801,-7.978043084209497,,,,N
28,T202301091037218m080014,,,T202301091037218m080014,,,159.34063289728888,-8.004003566437662,0.4319217731050504,4.414769794573922e-05,GALAXY,Y
29,T202301181037265m073806,,,T202301181037265m073806,,,159.36043841102068,-7.634880850475995,,,,N
30,C202212131037371m071613,,,C202212131037371m071613,C202302021037371m071613,,159.40454797045317,-7.270342451132381,0.028863901538520732,6.3259493874234466e-06,GALAXY,Y
31,T202212191037515m071733,,,T202212191037515m071733,,,159.4645401641352,-7.292537982787228,,,,N
32,A202301241038172m074024,,,A202301241038172m074024,,,159.57173016970486,-7.673357160966352,,,,N
33,A202212191038206m074554,,,A202212191038206m074554,,,159.5860102893104,-7.765024634417019,0.660078422995363,0.00015281878309191804,GALAXY,Y
34,C202312111038240m074746,,,,C202312111038240m074746,,159.5999243555494,-7.796214507624144,,,,N
35,T202312111038258m074615,,,,T202312111038258m074615,,159.60753134664668,-7.770827374514406,,,,N
36,T202302111038427m074526,,,,T202302111038427m074526,,159.67772873830782,-7.7573123261368915,,,,N
37,A202302021038595m072553,,,,A202302021038595m072553,,159.7479674114714,-7.4313344574559075,0.4903829547156451,4.7872478612808516e-05,GALAXY,Y
38,A202212191039015m073113,,,A202212191039015m073113,,,159.75619029344318,-7.520415600249734,0.879293376443006,0.00012548753311846425,GALAXY,Y
39,C202301211039047m074602,,,C202301211039047m074602,,,159.7695188736211,-7.767166704392205,,,,N
40,A202212251039104m075648,,,A202212251039104m075648,,,159.79317808816043,-7.946765133258358,,,,N
41,C202212251039125m073952,,,C202212251039125m073952,,,159.80221924578788,-7.664563268460752,,,,N
42,C202212131039166m074400,,,C202212131039166m074400,,,159.81921085363103,-7.73345283748457,,,,N
43,A202312111039169m065748,,,,A202312111039169m065748,,159.8203370917612,-6.963269166044892,,,,N
44,C202302171039178m070004,,,,C202302171039178m070004,,159.82418794305912,-7.00118605192046,0.7961175614984156,0.00010421070342537168,QSO,Y
45,T202312231039248m060653,,,,T202312231039248m060653,,159.85325931736676,-6.1148421793314185,0.20013917281204596,0.00033192095566485024,QSO,Y
