21A,22A,22B,23A,23B,ra_obj,dec_obj
,,C202307260003307m000149,,,0.8778615307493791,-0.030232545236853536
,,,,C202308250003322m010404,0.8839995339287547,-1.067884688706345
,,C202209140003343m001921,,C202308250003343m001920,0.8929226076742043,-0.3223582698313531
,,C202210110003364m014018,,C202308040003364m014018,0.9015160940321905,-1.6716631266931081
,,C202210060003374m013947,,C202308040003374m013946,0.905663673273227,-1.6628605856225316
,,,,T202308040003380m014843,0.908474092943888,-1.8119470762343184
,,A202209140003382m014808,,,0.9092144816778382,-1.8020851651438687
,,C202209140003391m005320,,,0.9130994591395328,-0.8889407659847492
,,C202307110003413m001811,,A202308040003414m001811,0.9223294132087291,-0.3029858513736985
,,,,T202308250003416m015338,0.9233659984857072,-1.8938840541691282
,,,,C202309270003420m000023,0.9249900497439084,-0.00636183516659725
,,C202210060003489m001212,,,0.9537390230949264,-0.2032514009227327
,,,,C202308250003521m001414,0.9670178453830544,-0.23730484763515336
,,,,C202308030003528m011010,0.969864073621738,-1.1694180866683221
,,T202209140003533m002559,,,0.9721586533413245,-0.4330594298893119
,,,,T202309090003539p000114,0.9745358942770592,0.020514400799443173
,,C202210020003557m005243,,,0.9819361470834528,-0.8786615600170422
,,,,C202308030003567m011522,0.9864144981722291,-1.2560689912921752
,,,,T202308040003574m011733,0.9891718422862688,-1.292401859508446
,,C202209140004000m011846,,,1.0002008623548932,-1.312810606180287
,,,,T202308220004007m014930,1.002813937396677,-1.8250651395657596
,,T202211010004027m013033,,,1.0112901379571555,-1.5092022806547791
,,,,C202308040004065m002945,1.0271426298970894,-0.4958928650836063
,,,,C202308130004072m001543,1.0301680643965252,-0.2619187640735973
,,C202209140004073m003550,,C202308250004073m003550,1.0302670971505883,-0.5971713911673515
,,,,T202309270004073m001555,1.0302816472189011,-0.2654038717205729
,,T202209140004105m005010,,T202308040004105m005010,1.0439047730233564,-0.8359941235626083
,,C202209140004138m003130,,C202308040004138m003130,1.0576225210659334,-0.5249188715586455
,,T202209140004148m012349,,T202308040004148m012349,1.0617144974999375,-1.3969409036404152
,,C202210020004158m004823,,,1.0657420114453184,-0.8063416355044192
,,,,T202308130004163m013449,1.068057062522044,-1.5803331932223297
,,C202210060004167m012827,,C202308250004167m012828,1.0697704884065125,-1.4743009752760683
,,C202209140004174m001201,,C202308030004174m001201,1.0724115710475866,-0.20023231010502024
,,C202210110004180m015313,,,1.075066798300952,-1.886982402730614
,,T202209140004197m004105,,,1.081967085583095,-0.6846082424706379
,,,,C202310120004197m005703,1.0821171006203314,-0.9507035453984176
,,C202209140004204m000923,,C202308030004204m000923,1.0850043826519256,-0.15645952981673134
,,,,A202309090004210m003743,1.0875228901035088,-0.6286159520861987
,,C202210060004232m011200,,,1.0967486316280792,-1.2000527168731132
,,C202210060004239m002935,,,1.0995801935514795,-0.493031488528316
,,,,A202308250004266m010245,1.1110129377642288,-1.0458572644549793
,,C202210200004293m005918,,,1.122203311824714,-0.988468995231816
,,,,C202308040004306m004812,1.1273782353400497,-0.8034645827712759
,,A202209140004307m012242,,C202308030004306m012242,1.1276791079988733,-1.3782202744155891
,,,,C202308250004337m013222,1.1402090391127762,-1.5394008882199075
,,C202210110004339m014149,,C202309090004339m014149,1.1413324220015686,-1.6968974884192227
,,,,C202308310004358m003141,1.1492396004456495,-0.5280511166360369
,,A202210110004380m010233,,,1.1584563394226164,-1.0424082187665624
,,C202210200004395m014013,,,1.1647877512473448,-1.6703709385718812
,,C202209140004399m000146,,C202308030004399m000146,1.1664496466076204,-0.029489253069075835
,,C202210290004400m003215,,,1.1667572241252804,-0.5374777200867439
,,C202209140004409m005923,,,1.17041776266881,-0.9898042779285792
,,,,C202308040004450m000746,1.1873351001314123,-0.1293111050340886
,,T202209090004456m005744,,,1.189965252123112,-0.962145121070896
,,A202210140004464m011856,,A202308130004464m011856,1.193472530787278,-1.315557873148575
,,C202209140004467m005302,,C202308040004467m005302,1.194465556784857,-0.8837883829125694
,,,,C202308040004491m005712,1.2047236370052437,-0.9533151714083647
,,C202210060004505m010934,,C202308040004505m010934,1.2102591856744467,-1.1593352717468695
,,,,A202308130004508p000108,1.2117178455354938,0.018921731958073198
,,C202209140004515m004811,,C202308040004515m004811,1.2143966102118546,-0.8030670441307357
,,C202209140004522m011345,,,1.21770236682456,-1.2291930501516677
,,,,C202309090004531m010301,1.2213814446430211,-1.0503932823984987
,,T202210200004559m004027,,T202308040004559m004027,1.232851022964099,-0.6740379858316919
,,,,C202308030004566m014209,1.2359652239733363,-1.7024572272342209
