,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
494,A202212191058003m070527,,,A202212191058003m070527,A202302021058003m070526,,164.50135225465277,-7.090689919706296,0.04904322802958703,7.985132367374305e-06,GALAXY,Y
495,A202302021057575m064529,,,,A202302021057575m064529,,164.4894374875872,-6.758106818428493,,,,N
496,C202312201057541m064936,,,,C202312201057541m064936,,164.47534590479083,-6.826756278553841,0.0492889892601114,5.722129299532391e-06,GALAXY,Y
497,T202312201057517m070313,,,,T202312201057517m070313,,164.46545240179813,-7.053666513769343,,,,N
498,C202212191057273m070415,,,C202212191057273m070415,C202302021057273m070414,,164.3636684343076,-7.070700416125914,,,,N
499,T202312201056599m072509,,,,T202312201056599m072509,,164.2494908759492,-7.419042025027053,,,,N
500,C202302021056517m074935,,,,C202302021056517m074935,,164.21559859673116,-7.826526402636789,0.13067359417298421,1.1266940234688162e-05,GALAXY,Y
501,T202212131056504m055824,,,T202212131056504m055824,T202302021056504m055824,,164.20988989382863,-5.973451879988561,0.06722913913630806,2.1161771678319538e-05,GALAXY,Y
502,T202312141056498m052821,,,,T202312141056498m052821,,164.20751357131326,-5.472405437473104,,,,N
503,T202303221056478m045858,,,,T202303221056478m045858,,164.19901500262782,-4.982869659584103,,,,N
504,C202212191056390m061941,,,C202212191056390m061941,,,164.1625701629438,-6.327962121533628,0.26336217122405126,0.00010495536343469198,GALAXY,Y
505,A202301031056136m070214,,,A202301031056136m070214,,,164.05682194717548,-7.037296360974102,,,,N
506,T202301181055583m061925,,,T202301181055583m061925,T202302021055583m061926,,163.9928473987116,-6.323764727677293,,,,N
507,T202303221055531m081207,,,,T202303221055531m081207,,163.9714580191825,-8.201956962460438,,,,N
508,C202212221055530m052824,,,C202212221055530m052824,C202302021055530m052824,,163.9706529117901,-5.473459139234483,,,,N
509,C202312201055387m081140,,,,C202312201055387m081140,,163.9113957386571,-8.194506324575721,,,,N
510,A202302141055183m052715,,,,A202302141055183m052715,,163.8261377204215,-5.454130606863984,,,,N
511,C202312201055138m080244,,,,C202312201055138m080244,,163.8076679775726,-8.045598917833962,,,,N
512,A202302171054547m051824,,,,A202302171054547m051824,,163.72808237915098,-5.306800309002254,,,,N
513,T202303131054541m054553,,,,T202303131054541m054553,,163.7255452359111,-5.764615881333312,0.7961240494177463,7.288304234966197e-05,QSO,Y
514,T202212191054502m075727,,,T202212191054502m075727,,,163.70936611407097,-7.957412451183993,,,,N
515,T202302141054436m052209,,,,T202302141054436m052209,,163.6815163725347,-5.369046867374803,,,,N
516,A202212131054076m072908,,,A202212131054076m072908,,,163.53172005850612,-7.485558760108511,0.06657202426868081,2.67714298612829e-06,GALAXY,Y
517,T202301101054055m055847,,,T202301101054055m055847,T202302021054056m055847,,163.52312231750022,-5.979802079207099,,,,N
518,T202312141053545m060529,,,,T202312141053545m060529,,163.4769935741451,-6.091434804015559,,,,N
519,C202401101053490m055945,,,,C202401101053490m055945,,163.45429315813533,-5.995793651616565,,,,N
520,A202401161053414m071906,,,,A202401161053414m071906,,163.4224678457936,-7.318249490570301,,,,N
521,T202301241053172m054247,,,T202301241053172m054247,T202302021053172m054247,,163.32174154043628,-5.713027616944011,0.19296340146349647,1.0503574329774048e-05,GALAXY,Y
522,T202303221053024m073331,,,,T202303221053024m073331,,163.25990932695206,-7.5585617464841794,,,,N
523,T202303101052459m071931,,,,T202303101052459m071931,,163.19118037449678,-7.325300259055742,,,,N
